config_name,chunking_type,retrieval_type,bias_config,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_10,pass_at_20,avg_retrieval_time
structured_agent_tinfoil_medical_contextual_rag_diverse,structured_agent,contextual_rag,diverse,0.24,0.275,0.32,0.355,0.595,0.77,0.77,0.0343
structured_agent_tinfoil_medical_pure_rag_diverse,structured_agent,pure_rag,diverse,0.24,0.29,0.32,0.355,0.59,0.73,0.73,0.002
contextual_sentence_c1024_o2_tinfoil_contextual_rag_diverse,contextual,contextual_rag,diverse,0.23,0.265,0.29,0.305,0.525,0.635,0.635,0.4969
contextual_fixed_c512_o100_contextual_rag_diverse,contextual,contextual_rag,diverse,0.24,0.3,0.31,0.32,0.52,0.65,0.65,0.9924
sentence_t1024_o2_contextual_rag_diverse,sentence,contextual_rag,diverse,0.235,0.27,0.285,0.31,0.52,0.645,0.645,0.4218
fixed_c1024_o150_contextual_rag_diverse,fixed,contextual_rag,diverse,0.245,0.275,0.29,0.3,0.495,0.625,0.625,0.4344
structured_agent_qwen3_4b_medical_contextual_rag_diverse,structured_agent,contextual_rag,diverse,0.205,0.265,0.32,0.33,0.495,0.645,0.645,0.0286
contextual_sentence_c1024_o2_contextual_rag_diverse,contextual,contextual_rag,diverse,0.24,0.275,0.3,0.31,0.485,0.625,0.625,0.5238
fixed_c384_o50_contextual_rag_diverse,fixed,contextual_rag,diverse,0.2,0.24,0.28,0.3,0.485,0.615,0.615,0.9896
sentence_t1024_o3_contextual_rag_diverse,sentence,contextual_rag,diverse,0.22,0.25,0.27,0.3,0.485,0.615,0.615,0.4692
fixed_c384_o100_contextual_rag_diverse,fixed,contextual_rag,diverse,0.185,0.245,0.265,0.295,0.48,0.615,0.615,1.1539
paragraph_m100_contextual_rag_diverse,paragraph,contextual_rag,diverse,0.185,0.24,0.285,0.295,0.48,0.615,0.615,0.0561
paragraph_m25_contextual_rag_diverse,paragraph,contextual_rag,diverse,0.185,0.24,0.285,0.295,0.48,0.615,0.615,0.0568
paragraph_m50_contextual_rag_diverse,paragraph,contextual_rag,diverse,0.185,0.24,0.285,0.295,0.48,0.615,0.615,0.0566
structured_agent_qwen3_4b_medical_pure_rag_diverse,structured_agent,pure_rag,diverse,0.205,0.265,0.295,0.32,0.48,0.64,0.64,0.002
sentence_t384_o0_contextual_rag_diverse,sentence,contextual_rag,diverse,0.215,0.245,0.265,0.295,0.475,0.635,0.635,0.7492
sentence_t768_o1_contextual_rag_diverse,sentence,contextual_rag,diverse,0.22,0.27,0.29,0.305,0.475,0.6,0.6,0.4858
contextual_fixed_c512_o100_pure_rag_diverse,contextual,pure_rag,diverse,0.215,0.275,0.29,0.31,0.47,0.62,0.62,0.0037
sentence_t1024_o2_pure_rag_diverse,sentence,pure_rag,diverse,0.22,0.255,0.265,0.305,0.47,0.58,0.58,0.0029
fixed_c384_o50_pure_rag_diverse,fixed,pure_rag,diverse,0.195,0.235,0.27,0.29,0.465,0.6,0.6,0.0041
